tweet,COMPANY
"Here are 3 reasons registration for #think2019 will be your best decision of the year:

1) Meet thousands of people worldwide across multiple industries, who share a common interest in #AI and technology: ",IBM
"""There is a large part of society that does not feel that this is going to be good for their future,"" IBM's CEO said.",IBM
IBM Q4 and full-year 2018 earnings are now available here: ,IBM
IBM CEO Rometty: This is what could topple the whole digital economy,IBM
".@IBM's Ginni Rometty: Trust is essential. Companies must be clear on their principles when it comes to data & technology, and be accountable for living up to them. Government regulation needs to take a precision medicine approach and focus on protecting consumer privacy. #wef19pic.twitter.com/z6seF8nK5",IBM
Our #AI OpenScale trust and transparency capabilities give businesses the confidence that the decisions their AI is making are fair and understood: ,IBM
"As part of our global commitment to 21st century skills training, IBM and @CTATech recently launched the CTA Apprenticeship Coalition to help close the skills gap in fast-growing tech fields. Learn more: ",IBM
"Live from #wef19: Watch CEO Ginni Rometty discuss the power of data, trust and responsibility in tech, and training the workforce for an #AI era: ",IBM
"Follow along today here as @IBM's Ginni Rometty talks trust at #wef19. In the meantime, here's a refresher on #IBM's Principles of Trust and Transparency:pic.twitter.com/huQMdAlm3",IBM
New technologies like #quantum computing will outpace current encryption protocols. Here are some actions companies can take today to plan for the future of data security:,IBM
"I'm very pleased to announce our new venture with @IBM. Multiple clouds, #AI, #5G, #EdgeComputing and #SDN will power the next wave of digital transformation. 

We'll work together to help simplify complexity and drive success for our customers.",IBM
"ICYMI: Watch CEO Ginni Rometty discuss ""what's next"" for data, computing and society at #CES2019 (keynote starts at 26:45): ",IBM
#Think2019 is less than one month away. Learn more about how you can sharpen your skills and extend your network into one of the world's most celebrated communities of technologists and thought leaders: ,IBM
"We spoke to the designers behind @IBM Q's first 'commercial' quantum computer about the challenges of the project, the thinking behind the unique design and what the future holds for #quantum: ",IBM
"Oracle CEO, @MarkVHurd, breaks down the higher #education business model. How can #institutions better attract the best and brightest, when the average American college student is burdened with $38,000 in #debt? Read here:",Oracle
#Automation and #ML are not just buzzwords. Theyre seeing real adoption in real enterprises every day. @kyleyork takes a look at the key findings from the latest Oracle and @KPMG #CloudThreatReport. Join us at #RSAC Booth 1559 to learn more. Read here: ,Oracle
"39% of business leaders find incompatibility between different SaaS providers a major challenge. Thankfully, a complete #SaaS suite from @Oracle can help. Find out how: ",Oracle
The annual #OracleFedForum will tackle mission-critical challenges like IT Modernization and #Cybersecurity  while demonstrating how emerging tech can help improve citizen engagement. Register here: ,Oracle
"Good morning from #RSAC! Today, we're attending the #CSASummit. Must see sessions  Ten years in Cloud: An Observation of Success and CISO Counterpoint: Mission Critical Cloud. #OracleatRSA ",Oracle
It's only been a couple of hours... but we're already missing the action. Relive the winning moments and the story of the finals with our two 2019 @OracleChallngrs Indian Wells Champions Viktorija #Golubic & @kyle8edmund. Well done! @ATPChallenger @WTA @Oraclepic.twitter.com/w621QE2fw,Oracle
"Tomorrow. Finals Day. 2019 @OracleChallngrs Indian Wells. Can Brady grab the last Wild Card for the @BNPPARIBASOPEN? Who will win the Men's final? Follow us here from 10am onwards. With @jennifurbrady95, Viktorija #Golubic @AndreyRublev97, @kyle8edmund, #RoadtoIndianWells @oraclepic.twitter.com/ijM6TTL14",Oracle
"Going going Golubic!

She pulls the upset, moves past Wang 7-5, 6-1, setting up a final showdown tomorrow with Jennifer Brady!

#RoadtoIndianWellspic.twitter.com/AbtsrzISl",Oracle
".@kyle8edmund with an early break in the first Mens semi final today, and follows up to bring the first set home 62 vs. Lloyd Harris. Sizzling performance so far. @OracleChallngrs @ATPChallengerpic.twitter.com/WMKsUTpNC",Oracle
"Customers are saying ""I want to move to the #cloud because it's more #secure than [patching breaches] myself."" SVP of #OracleCloud explains how #machinelearning & #AI will #transform the way different #industries do their businesses in the future.",Oracle
"The long #RoadtoIndianWells has ended here, but a new chapter has just began for Donald Young as he clinched his Wild Card for the main draw to the 2019 @BNPPARIBASOPEN. Off to the big stages now, good luck! @OracleChallngrs @ATPChallenger @ATP_Tourpic.twitter.com/RsvzAWSXx",Oracle
75% of #B2B buyers and 84% of C-level execs now incorporate #socialmedia into their decision-making processes. Here are 7 ways to take your #socialmediamarketing to the next level:,Oracle
"SRAMs choice for a #cloud solution was made with the #future in mind. As #data volumes and software-automation capabilities grow, SRAM will be able to scale quickly and cost-effectively. Read more: ",Oracle
"""The @Oracle Challenger Series has helped Americans by giving them an opportunity to go up in the rankings..."" - @JLPegula wins one of the 4 Wild Cards to the main draw of the @BNPPARIBASOPEN. Congrats, Jessica! @OracleChallngrs @WTA #RoadtoIndianWellspic.twitter.com/qCP5djEb3",Oracle
"Hear from @Oracle CEO Safra Catz as she shares her views on Oracles long history in Higher Education, and then stop by and visit us at #Alliance19 to learn more! Well be in booth 611! See you in Orlando! ",Oracle
"As #BlackHistoryMonth comes to an end, we continue to thank the #leaders, #pioneers, #activists, and #voices that have shaped our lives and communities. ",Oracle
Were here at the White House presenting our #patientcentric #clinicaltrial matching solution for @HHSGovs first #TOPhealth sprint. An honor to be here! @HHSIDEALab @InnovFellowspic.twitter.com/rvTNnszXL,Oracle
"Get ready to see award-winning actor, writer, producer, and comedian @KeeganMKey on the main stage at #SuiteWorld19. Redeem your FREE Discover Pass with code CDTWT19 ",Oracle
"Oracle Think Autonomous Webcast: IDC on the changing role of the DBA. Mar 6th, 9 AM PT #thinkautonomous ",Oracle
New @Glassdoor research lists Oracle among Top 10 Employers attracting GenZ and Millennial workers. Were honored to hire some of the worlds top talent across all levels! Explore careers and come create the future with us. ,Oracle
"Dario Vincent chases the finish line on the track, and #solutions off the track. As an #engineer and a #runner at Oracle, Dario has found #success through the endurance and discipline gained from both fields. Find out more about #LifeatOracle here: ",Oracle
"Smart is the new normal: Brief recap and takeaways from #OracleCloudDay 

via @QuadStack >> ",Oracle
Know a #dev thats breaking boundaries? Shine a light on projects making an impact! Nominations for the #GroundbreakerAward by @Oracle are now open: ,Oracle
"What will your business look like 6 years from now? #OracleCloudDay Leadership Summit will get you up to date on what you need to know to about the latest #tech, use cases, and trends. More info: ",Oracle
"#Automation is the best way and increasingly the only effective way to tackle cloud #security threats, new Oracle and @KPMG #cloudthreatreport shows. Read more via @Forbes here: ",Oracle
"Every #IT professional must understand the relationship between IT governance, #security, processes, and support from a trusted source. Brennan Baybeck joins CXOTALK host @mkrigsman to discuss what you need to know. Watch here:",Oracle
"""Not an improvement of 40 percentbut 40 times faster than TaylorMades old system."" @bobevansIT covers the jaw-dropping results from @TaylorMadeGolf using the Oracle #AutonomousDatabase. Read his latest here: ",Oracle
"From the Oracle Challenger Series, to the Oracle U.S. Tennis Awards, @MarkVHurd is committed to evolving the game and helping #rookies make strides in their tennis #careers. Read more on Oracle's vision for the #future of #tennis: ",Oracle
13 times a Leader! #Oracle continues to be named a Leader in 2019 Gartner Magic Quadrant for Data Management Solutions for Analytics @Gartner_inc ,Oracle
Attention Employers  The #GenZ movement is officially here. Are you ready? @emilyhe1 and William Tincup share key insights on @Forbes: ,Oracle
Oracle OpenWorld wants you! Submit your best cloud and technology transformation stories for the opportunity to speak at Oracle OpenWorld San Francisco 2019. ,Oracle
Thrilled to be back in beautiful Barcelona . Calling all #MWC19 attendees. Skip the taxi queue & ride with #Oracle . Follow us @OracleFreeRides to book your VIP transport.pic.twitter.com/xNVZsF0In,Oracle
Going beyond the glitz and glamour of #LasVegas. Watch the story of a community dedicated to make life better. Find out how Oracle #Analytics Cloud is helping the City of Las Vegas improve #citizen services and proactively solve local #government issues: ,Oracle
"Why #Businesses need #Blockchain: Myth vs. Reality. Mary Hall, Director of Blockchain Product Marketing, breaks down the common misconceptions around blockchain. Read from @SystemsandTech here:",Oracle
"""When we #invest in effective defensive planning, we dont have to be fire-fighters."" @GregJensen10 illustrates the importance of implementing overlapping #security controls to ensure a more #secure hybrid #cloud journey. Read more: ",Oracle
Happy 5th birthday @Oracle #EPMCloud! ,Oracle
"On trying to have a #winning mindset from @serenawilliams: Every single time I play a match, I have thoughts that I may not win today. So, I put those thoughts in a paper bag, crumble it up, and throw it away...Its not always easy. @wtrmrk #leadership #tennis #motivationpic.twitter.com/vcIGQRdbk",Oracle
What is #leadership? According to Dr. Brene Brown at the Watermark Conference (@wtrmrk) it means excavating the unsaid. Powerful words from #womenintech today. Were honored to support this fantastic organization,Oracle
Cybercriminals are using #emergingtech to wage a highly sophisticated war against businesses like yours. Join us at #RSAC to learn how our core-to-edge layers of security can protect your business. #OracleatRSA Register here: ,Oracle
"Some 90% of CISOs are confused about their role in securing a SaaS environment, according to an Oracle and KPMG report.",Oracle
"The view fromOracle Cloud Day #Chicago. A brief & insightful recap wrote by @QuadStack is up on his LinkedIn and it covers #autonomous, #cloud, #security and more. Here are Bill's Top 5 #OracleCloudDay Insights: ",Oracle
What's the secret behind a successful transition to #cloud? @AtlasRoofing IT Director Kevin Moore shares his experience working with #OracleACS at an exclusive event in Los Angeles today. Check out the full story: ,Oracle
"Interested in the new #AI, #CloudNative, and #blockchain trends for Groundbreakers? Check out @Oracles 10 Predictions for #Developers and see how these forces will play out in the year ahead: ",Oracle
"The plot thickens on the #RoadtoIndianWells with wild cards to the @OracleChallngrs Indian Wells. 

12 Americans including @LaurenDavis93 join the player field. Also joining, @WTA World No. 18 Wang Qiang and @ATP_TourTour World No. 28 @Kyle8Edmund.

More > ",Oracle
BREAKING: We've discovered a #mobile #adfraud operation dubbed #DrainerBot. Find out if you've been affected. Infected apps can drain 10GB of data from your device every month. Read more via @washingtonpost: ,Oracle
"Brexit, China, and other factors make for turbulent markets. @OracleERPCloud can help financial execs be more agile and responsive. You need the ability to operate in several business models simultaneously, says @lindner_juergen. More via @eWEEKNews:",Oracle
Go from digitally distraught to digitally determined. Read the @Oracle & @IDC survey for new stats on #SaaS integration and #innovation from global business leaders: ,Oracle
"Join us today at 11:00 am via Facebook Live for #Markie News! 

@Oracle's @CavannaCM, VP, of Corporate Marketing and @descahill VP, of Customer Experience will announce the finalists for the 13th annual #MarkieAwards @OracleMktgCloud #CustomerExperience
",Oracle
BREAKING NEWS: We've discovered a #mobile #adfraud operation dubbed #DrainerBot. Infected apps can drain 10GB of data from your device every month. Learn more and find out how to stop it: ,Oracle
"According to the Oracle and @KPMG Cloud Threat Report 2019, companies continue to move #business critical workloads and their most sensitive #data to the #cloud, yet #security challenges remain. Find out more from the latest #cloudthreatreport here: ",Oracle
Businesses around the world have already reaped the benefits of #blockchain applications built on Oracle Blockchain Platform. Circulor uses blockchain to track conflict #minerals to ensure ethical sourcing of raw materials. Find out more: ,Oracle
Reducing service costs and mitigating frustration by empowering customers is a trend pay TV operators must embrace. Olivier Jorda dives into top 3 customer frustrations: ,Oracle
"Juan Loaiza has been working on the Oracle #database since 1988. With emerging tech and the Oracle #AutonomousDatabase, database #technology has evolved. Listen to the latest @TheMissionHQ podcast, where Juan discusses the exciting changes in innovation:",Oracle
"What do consumers want, and how do they want it? It's a question both #retailers and #consumer packaged goods companies are looking to answer. Read more via @WSJ @michaeloneworld: ",Oracle
"At #MSC2019 @IEdotF panel, SVP of Development @wimoracle discussed #cloud, #cybersecurity, and the current state of the global #technology landscape. More here: ",Oracle
"VP of Development, @wimoracle, joined #MSC2019 @IEdotF panel to discuss the risks of a single dominant #cloud vendor, and the importance of a multi-cloud approach. More here: ",Oracle
.@sailgpaus is on fire: winners of Race 5 at #SydneySailGP. #SailGPAUS pic.twitter.com/qOCvtQM0P,Oracle
".@sailgpaus continues its winning streak, taking Race 4 of #SydneySailGP. #SailGPAUS pic.twitter.com/VCjiumNPq",Oracle
"Race 4: AUS still lead, JPN moves into second in the fleet & GBR third at gate 5 where the F50s are struggling to stay on the foils in light winds #SydneySailGP #SailGP #fueledbyathlete",Oracle
"Comrades, competitors, competition.  The stakes are high with a 1 point difference going into Day 2, between @SailGPAUS and @SailGPJPN. Who will leave today victorious? #sailing #sailingredefined",Oracle
,Oracle
Download the Harvard Business Review Analytic Services Research Report The Rise of Intelligent Automation to see why automation enhanced through #AI is critical to compete and survive in the years ahead. Download here: ,Oracle
"""Now we have one place to go with highly governed, managed, controlled, harmonized #data."" @TaylorMadeGolf moves to the Oracle #AutonomousDatabase. Read more via @InformationWeek here:",Oracle
"Universal Tennis Rating (@MyUTR) calculates player ratings using #data from 700,000 players, 8 million matches, in over 200 countries. All Powered by Oracle. Find out more here: ",Oracle
"We have #ML in our #cloud that can detect that one network cable isnt as good as another one. As an end user, you will never see that. SVP of Development, @wimoracle, joined #MSC2019 to debate the opportunities & threats of the global tech landscape. ",Oracle
"The nominees have been announced for the #ChangeAgents19, and they have some amazing stories to share! Here are 10 things you can learn from them. Dont forget to cast your vote! ",Oracle
"Japan in 1st position after Day 1. Congrats, Japan! Excited to see what tomorrow brings! ",Oracle
"And... the hometown heroes brought it today. Well done, Aussies! #sailing #SailGP #tech",Oracle
.@noutteridge showing why he's the man to beat. #SailGP #SydneySailGPpic.twitter.com/HhRQTOA7t,Oracle
Victory on home waters for Tom Slingsby & @sailgpaus in Race 2 of #SydneySailGP. pic.twitter.com/GblLK7KOu,Oracle
"Home sea advantage? Only time will tell, but one thing is certain... Shark Island is SOLD OUT for spectators of this high-performance #sailing event and we can't wait to see who brings home the prize! #sailingredefined #tech #data",Oracle
Here's a peek at some of the pre-race banter between the mighty helmsmen of @SailGP! Who are you rooting for? #sailing #sport #sydney,Oracle
"WATCH: Steve Daheb, VP of @OracleCloud, sits down with @cheddar to talk about how the future of the #cloud will be #autonomous. Watch here:",Oracle
"Day 1 of @SailGP! With 1,200 sensors placed on the supercharged F50 catamarans and the athletes, plus onboard cameras and microphones, @OracleCloud is helping teams analyze their performance and give remote umpires the details they need to make calls with confidence.pic.twitter.com/oUc38Gsgg",Oracle
Interested in being an Oracle Beta Tester? Complete a profile form here: ,Oracle
I'm ridiculously happy to be hosting Oracle's Modern Customer Experience next month! MY FACE RIGHT NOW >>> <<< #modernCX,Oracle
"Bernard Schober has a #love for sharks. As a #shark conservationist, scuba diver, and slam poet, Bernard chooses Oracle as he finds fulfillment at a company that supports him, the #environment, and his #career. Watch here:",Oracle
Why #Oracle thinks it can help put the ZING in your #pricing? Read here:,Oracle
"Now Available: Click-to-launch in the Oracle Cloud Marketplace dramatically cuts down on #deployment times to allow you to get going in minutes or hours, versus days or weeks. Read more here:",Oracle
"Found my friends from @Oracle @OracleCloud - Had a good time chatting healthcare, #cloud, and some fun emerging solutions! #AutomateHealthcare #HIMMS19 #HIMSSpic.twitter.com/k7iH64Jy2",Oracle
"Our partnership with Oracle and the Oracle Cloud Infrastructure allows you to benefit from a highly integrated data platform for big data and machine learning applications.

Tom Fisher explains how in this video: ",Oracle
"Join Oracle today (2/13) for a LIVE webcast on ""Making #Blockchain a Reality in #RetailEnterprises"" at 11:00 am PST/2:00 pm EST. Bring your questions for a live Q&A after the presentation. Register here: ",Oracle
Excited to be heading to #Vegas @OracleCXs annual #ModernCX. Saw several dedicated tracks on using tech to accelerate sales productivity! Join me using discount code CXNancy. ,Oracle
"Behind @eharmony is @oracle playing #cupid. This #ValentinesDay, get lucky with promo code ORACLE for 10% off any plan. Read more on how eharmony is using Oracle #AI and #data to ignite meaningful relationships here: ",Oracle
Get a chance to meet Oracle #Cloud experts at our Cloud Solutions Hub in Bangalore on February 16. Dive into Infrastructure-as-a-Service and Application #Development topics designed for our customers. Register here: ,Oracle
"The need for #speed! The extreme F50 racing machines will soon battle it out in Sydney Harbour for the first race of @SailGP. Get to know this one-design class cat. Download the SailGP APP powered by @OracleCloud and watch, Feb. 15-16 in Sydney: ",Oracle
"Congratulations to Mary Hall, Director of Blockchain Product Marketing! Proud to have one of our very own as a top #influencer and pioneer in #identity. @SystemsandTech @1WorldIdentity",Oracle
"What does it mean to be legendary in #CX? Join us at #ModernCX March 19-21 in Las Vegas to find out. Watch, learn, and experience where legends are made! Register today: ",Oracle
"Excited to be speaking & doing some hosting at @OracleCXs annual #ModernCX. 
With 50+ #marketing sessions, this will be an event marketers wont want to miss! 
Join me using discount code CXBrianF. 
",Oracle
"What's the current state of the tech landscape, and what does it mean for #cloudcomputing & #security? Join #MSC2019 panel w/ Wim Coekaerts, SVP of Development, as they debate the merits and risks of the various approaches to cloud solutions. More here:",Oracle
"With Oracle Marketplace and Click-to-Launch, customers will have access to #applications directly on their Oracle #Cloud Infrastructure Compute instance, dramatically cutting down #deployment times. Read more via @CRN here:",Oracle
"According to IDC, 75% of #B2B buyers and 84% of C-level executives are now incorporating #socialmedia as a key part into their decision-making process. Are you ready to take your social media to the next level? Here are 7 tips from @Oracle's @lisa_marcyes: ",Oracle
"""With technologies like AI, it's not just about getting answers to your questions. It's about getting answers to questions you didnt even think to ask."" Steve Daheb, #OOWDXBpic.twitter.com/I3uHjVCy1",Oracle
"#HistoriCX ? Oh, hell no! Its #ModernCX yall! @fablco & I are pumped to be teamed up w @oracleCX & @OracleMktgCloud for this years big show in #Vegas Mar. 19-21. Pssst heres a discount code ",Oracle
"TaylorMade Golf tees off with Oracle #AutonomousDatabase, freeing up staff from daily maintenance to drive new innovations to underpin its #cloud modernization strategy. Find out more here: ",Oracle
"Its the wind and Oracle Cloud that power @SailGP. The new global championship will rely on Oracle #Cloud to deliver powerful, real-time #data to teams, fans and umpires. See it in action Feb. 15-16 in Sydney Harbour & San Francisco May 4-5. More here: ",Oracle
Thanks to @HEUG for sharing your insights & experiences during your visit to @Oracle HQ this week. Were proud to help you & your institutions deliver high quality education to students around the world. #HEUGCloud19pic.twitter.com/dL3JCZSgk,Oracle
Oracle experts will be in Dubai next week at Oracle OpenWorld Dubai. Join us to learn how #Blockchain and Oracle #Cloud can solve real business problems. Expert speakers include Oracle's @amohindr & Ghassan Sarsak of @ICSFS. Details on #OOWDXB here: ,Oracle
Businesses of the #future need digitally savvy talent and strategies. OOW Dubai will cover emerging tech and how it is reshaping our economies. Read more on what to expect at #OOWDXB and @azaverys session on building next-gen #cloud apps here: ,Oracle
Signing off from San Francisco! Thanks to all who attended #TheModernCFO and many thanks to this years sponsor @Oracle!,Oracle
.@Oracle s Juergen Lindner delivers his opening remarks at #TheModernCFO pic.twitter.com/HSUGr4N45,Oracle
"Juergen Lindner shares at @BloombergLive #TheModernCFO major new study from Oracle and @AICPA on the creation of a new, #digitalfinance operating model, and how global leaders and organizations are reacting. Read the full report here: ",Oracle
"Are you tuning in? #TheModernCFO starts at 7:00pm PST. Hear the opening remarks from Oracle SVP of Marketing for SaaS, Juergen Lindner and Bloomberg Executive Editor @tsgiles. Stream @BloombergLive now: ",Oracle
"Catch Juergen Lindner, SVP of Marketing for SaaS, kicking off @BloombergLive #TheModernCFO tonight! Learn how you can be a digital finance leader with #AI, #CyberSecurity, and #CloudIntegration. Stream here at 7:00pm PST: ",Oracle
Game. Set. Match. Data. Universal Tennis Rating (@myUTR) factors in over 42 million #data points to calculate player ratings across 200 countries. All powered by Oracle. Find out more here: ,Oracle
